row_type,system_organ_class,preferred_term,subjects_n_percent,n_events
Preferred Term,INFECTIONS AND INFESTATIONS,TINEA CRURIS,1 (0.2%),2
Preferred Term,INFECTIONS AND INFESTATIONS,TINEA PEDIS,1 (0.2%),5
Preferred Term,INFECTIONS AND INFESTATIONS,TONSILLITIS,1 (0.2%),1
Preferred Term,INFECTIONS AND INFESTATIONS,TOOTH INFECTION,1 (0.2%),1
Preferred Term,INFECTIONS AND INFESTATIONS,TOXOPLASMOSIS,1 (0.2%),3
Preferred Term,INFECTIONS AND INFESTATIONS,VULVOVAGINAL MYCOTIC INFECTION,1 (0.2%),2
SOC,METABOLISM AND NUTRITION DISORDERS,NA,104 (23.0%),336
Preferred Term,METABOLISM AND NUTRITION DISORDERS,DECREASED APPETITE,90 (19.9%),268
Preferred Term,METABOLISM AND NUTRITION DISORDERS,DEHYDRATION,11 (2.4%),11
Preferred Term,METABOLISM AND NUTRITION DISORDERS,DIABETES MELLITUS,3 (0.7%),14
Preferred Term,METABOLISM AND NUTRITION DISORDERS,FLUID RETENTION,2 (0.4%),23
Preferred Term,METABOLISM AND NUTRITION DISORDERS,CACHEXIA,1 (0.2%),1
Preferred Term,METABOLISM AND NUTRITION DISORDERS,DIABETES MELLITUS INADEQUATE CONTROL,1 (0.2%),9
Preferred Term,METABOLISM AND NUTRITION DISORDERS,GOUT,1 (0.2%),4
Preferred Term,METABOLISM AND NUTRITION DISORDERS,HYPERGLYCAEMIA,1 (0.2%),1
Preferred Term,METABOLISM AND NUTRITION DISORDERS,HYPERPHOSPHATASAEMIA,1 (0.2%),1
Preferred Term,METABOLISM AND NUTRITION DISORDERS,HYPOKALAEMIA,1 (0.2%),1
Preferred Term,METABOLISM AND NUTRITION DISORDERS,HYPOVOLAEMIA,1 (0.2%),1
Preferred Term,METABOLISM AND NUTRITION DISORDERS,MALNUTRITION,1 (0.2%),1
Preferred Term,METABOLISM AND NUTRITION DISORDERS,STARVATION,1 (0.2%),1
SOC,VASCULAR DISORDERS,NA,60 (13.2%),237
Preferred Term,VASCULAR DISORDERS,HYPERTENSION,23 (5.1%),113
Preferred Term,VASCULAR DISORDERS,HYPOTENSION,10 (2.2%),19
Preferred Term,VASCULAR DISORDERS,DEEP VEIN THROMBOSIS,8 (1.8%),23
Preferred Term,VASCULAR DISORDERS,PHLEBITIS SUPERFICIAL,8 (1.8%),9
Preferred Term,VASCULAR DISORDERS,FLUSHING,4 (0.9%),24
Preferred Term,VASCULAR DISORDERS,HOT FLUSH,4 (0.9%),7
Preferred Term,VASCULAR DISORDERS,SUBCLAVIAN VEIN THROMBOSIS,3 (0.7%),7
Preferred Term,VASCULAR DISORDERS,THROMBOPHLEBITIS SUPERFICIAL,2 (0.4%),2
Preferred Term,VASCULAR DISORDERS,ARTERIAL STENOSIS,1 (0.2%),1
Preferred Term,VASCULAR DISORDERS,EMBOLISM VENOUS,1 (0.2%),11
Preferred Term,VASCULAR DISORDERS,HYPERAEMIA,1 (0.2%),5
Preferred Term,VASCULAR DISORDERS,INTERMITTENT CLAUDICATION,1 (0.2%),8
Preferred Term,VASCULAR DISORDERS,PALLOR,1 (0.2%),1
Preferred Term,VASCULAR DISORDERS,SUPERIOR VENA CAVAL OCCLUSION,1 (0.2%),2
Preferred Term,VASCULAR DISORDERS,VENOUS INSUFFICIENCY,1 (0.2%),5
SOC,BLOOD AND LYMPHATIC SYSTEM DISORDERS,NA,47 (10.4%),65
Preferred Term,BLOOD AND LYMPHATIC SYSTEM DISORDERS,FEBRILE NEUTROPENIA,19 (4.2%),20
Preferred Term,BLOOD AND LYMPHATIC SYSTEM DISORDERS,NEUTROPENIA,16 (3.5%),21
Preferred Term,BLOOD AND LYMPHATIC SYSTEM DISORDERS,ANAEMIA,8 (1.8%),17
Preferred Term,BLOOD AND LYMPHATIC SYSTEM DISORDERS,GRANULOCYTOPENIA,1 (0.2%),1
Preferred Term,BLOOD AND LYMPHATIC SYSTEM DISORDERS,LEUKOCYTOSIS,1 (0.2%),1
Preferred Term,BLOOD AND LYMPHATIC SYSTEM DISORDERS,LEUKOPENIA,1 (0.2%),1
Preferred Term,BLOOD AND LYMPHATIC SYSTEM DISORDERS,LYMPH NODE PAIN,1 (0.2%),2
Preferred Term,BLOOD AND LYMPHATIC SYSTEM DISORDERS,LYMPHADENOPATHY,1 (0.2%),2
SOC,INVESTIGATIONS,NA,46 (10.2%),158
Preferred Term,INVESTIGATIONS,WEIGHT DECREASED,32 (7.1%),93
Preferred Term,INVESTIGATIONS,WEIGHT INCREASED,8 (1.8%),50
Preferred Term,INVESTIGATIONS,INTERNATIONAL NORMALISED RATIO INCREASED,2 (0.4%),4
Preferred Term,INVESTIGATIONS,ALANINE AMINOTRANSFERASE INCREASED,1 (0.2%),2
Preferred Term,INVESTIGATIONS,HAEMOGLOBIN DECREASED,1 (0.2%),1
Preferred Term,INVESTIGATIONS,TRANSAMINASES INCREASED,1 (0.2%),2
Preferred Term,INVESTIGATIONS,URINE OUTPUT DECREASED,1 (0.2%),5
Preferred Term,INVESTIGATIONS,URINE PROTEIN/CREATININE RATIO INCREASED,1 (0.2%),1
SOC,EYE DISORDERS,NA,38 (8.4%),189
Preferred Term,EYE DISORDERS,LACRIMATION INCREASED,17 (3.8%),87
Preferred Term,EYE DISORDERS,CONJUNCTIVITIS,10 (2.2%),32
Preferred Term,EYE DISORDERS,VISION BLURRED,7 (1.5%),9
Preferred Term,EYE DISORDERS,CONJUNCTIVAL HAEMORRHAGE,2 (0.4%),4
Preferred Term,EYE DISORDERS,DRY EYE,2 (0.4%),10
Preferred Term,EYE DISORDERS,EYE PRURITUS,1 (0.2%),7
Preferred Term,EYE DISORDERS,EYELID OEDEMA,1 (0.2%),1
Preferred Term,EYE DISORDERS,KERATITIS,1 (0.2%),2
Preferred Term,EYE DISORDERS,VISUAL IMPAIRMENT,1 (0.2%),33
Preferred Term,EYE DISORDERS,VITREOUS FLOATERS,1 (0.2%),3
Preferred Term,EYE DISORDERS,XEROPHTHALMIA,1 (0.2%),1
SOC,PSYCHIATRIC DISORDERS,NA,37 (8.2%),149
Preferred Term,PSYCHIATRIC DISORDERS,INSOMNIA,18 (4.0%),83
Preferred Term,PSYCHIATRIC DISORDERS,ANXIETY,5 (1.1%),14
Preferred Term,PSYCHIATRIC DISORDERS,DEPRESSION,5 (1.1%),19
Preferred Term,PSYCHIATRIC DISORDERS,CONFUSIONAL STATE,4 (0.9%),5
Preferred Term,PSYCHIATRIC DISORDERS,SLEEP DISORDER,3 (0.7%),8
Preferred Term,PSYCHIATRIC DISORDERS,AGITATION,1 (0.2%),1
Preferred Term,PSYCHIATRIC DISORDERS,DELIRIUM,1 (0.2%),2
Preferred Term,PSYCHIATRIC DISORDERS,DEPRESSED MOOD,1 (0.2%),1
Preferred Term,PSYCHIATRIC DISORDERS,DISORIENTATION,1 (0.2%),1
Preferred Term,PSYCHIATRIC DISORDERS,DRUG DEPENDENCE,1 (0.2%),13
Preferred Term,PSYCHIATRIC DISORDERS,MENTAL STATUS CHANGES,1 (0.2%),1
Preferred Term,PSYCHIATRIC DISORDERS,MOOD ALTERED,1 (0.2%),1
SOC,CARDIAC DISORDERS,NA,25 (5.5%),49
Preferred Term,CARDIAC DISORDERS,TACHYCARDIA,10 (2.2%),23
Preferred Term,CARDIAC DISORDERS,PALPITATIONS,4 (0.9%),7
Preferred Term,CARDIAC DISORDERS,ATRIAL FIBRILLATION,3 (0.7%),8
Preferred Term,CARDIAC DISORDERS,ANGINA PECTORIS,2 (0.4%),2
Preferred Term,CARDIAC DISORDERS,ARRHYTHMIA,1 (0.2%),2
Preferred Term,CARDIAC DISORDERS,CARDIAC FAILURE,1 (0.2%),1
Preferred Term,CARDIAC DISORDERS,CARDIOVASCULAR DISORDER,1 (0.2%),1
Preferred Term,CARDIAC DISORDERS,EXTRASYSTOLES,1 (0.2%),1
Preferred Term,CARDIAC DISORDERS,PERICARDIAL EFFUSION,1 (0.2%),1
Preferred Term,CARDIAC DISORDERS,SINUS TACHYCARDIA,1 (0.2%),1
Preferred Term,CARDIAC DISORDERS,SUPRAVENTRICULAR TACHYCARDIA,1 (0.2%),1
Preferred Term,CARDIAC DISORDERS,VENTRICULAR TACHYCARDIA,1 (0.2%),1
SOC,RENAL AND URINARY DISORDERS,NA,19 (4.2%),32
Preferred Term,RENAL AND URINARY DISORDERS,URINARY RETENTION,5 (1.1%),8
Preferred Term,RENAL AND URINARY DISORDERS,PROTEINURIA,4 (0.9%),7
Preferred Term,RENAL AND URINARY DISORDERS,HAEMATURIA,3 (0.7%),5
Preferred Term,RENAL AND URINARY DISORDERS,DYSURIA,2 (0.4%),4
Preferred Term,RENAL AND URINARY DISORDERS,GLYCOSURIA,1 (0.2%),1
Preferred Term,RENAL AND URINARY DISORDERS,NEPHROLITHIASIS,1 (0.2%),2
Preferred Term,RENAL AND URINARY DISORDERS,OLIGURIA,1 (0.2%),2
Preferred Term,RENAL AND URINARY DISORDERS,POLLAKIURIA,1 (0.2%),1
Preferred Term,RENAL AND URINARY DISORDERS,POLYURIA,1 (0.2%),1
Preferred Term,RENAL AND URINARY DISORDERS,RENAL FAILURE ACUTE,1 (0.2%),1
SOC,EAR AND LABYRINTH DISORDERS,NA,17 (3.8%),48
Preferred Term,EAR AND LABYRINTH DISORDERS,VERTIGO,8 (1.8%),19
Preferred Term,EAR AND LABYRINTH DISORDERS,TINNITUS,6 (1.3%),26
Preferred Term,EAR AND LABYRINTH DISORDERS,AURICULAR PERICHONDRITIS,1 (0.2%),1
Preferred Term,EAR AND LABYRINTH DISORDERS,EAR PAIN,1 (0.2%),1
Preferred Term,EAR AND LABYRINTH DISORDERS,MENIERE'S DISEASE,1 (0.2%),1
SOC,"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",NA,16 (3.5%),32
Preferred Term,"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",FALL,5 (1.1%),5
Preferred Term,"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",BACK INJURY,1 (0.2%),1
Preferred Term,"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",CHEST INJURY,1 (0.2%),1
Preferred Term,"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",CONTRAST MEDIA REACTION,1 (0.2%),1
Preferred Term,"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",CONTUSION,1 (0.2%),2
Preferred Term,"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",DRUG TOXICITY,1 (0.2%),4
Preferred Term,"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",ESCHAR,1 (0.2%),1
Preferred Term,"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",FACIAL BONES FRACTURE,1 (0.2%),3
Preferred Term,"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",JOINT INJURY,1 (0.2%),2
Preferred Term,"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",POST-TRAUMATIC PAIN,1 (0.2%),3
Preferred Term,"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",PROCEDURAL PAIN,1 (0.2%),1
Preferred Term,"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",ROAD TRAFFIC ACCIDENT,1 (0.2%),1
Preferred Term,"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",TRANSFUSION REACTION,1 (0.2%),2
Preferred Term,"INJURY, POISONING AND PROCEDURAL COMPLICATIONS",WOUND,1 (0.2%),5
SOC,"NEOPLASMS BENIGN, MALIGNANT AND UNSPECIFIED (INCL CYSTS AND POLYPS)",NA,15 (3.3%),33
Preferred Term,"NEOPLASMS BENIGN, MALIGNANT AND UNSPECIFIED (INCL CYSTS AND POLYPS)",TUMOUR PAIN,8 (1.8%),21
Preferred Term,"NEOPLASMS BENIGN, MALIGNANT AND UNSPECIFIED (INCL CYSTS AND POLYPS)",CANCER PAIN,3 (0.7%),6
Preferred Term,"NEOPLASMS BENIGN, MALIGNANT AND UNSPECIFIED (INCL CYSTS AND POLYPS)",MALIGNANT PLEURAL EFFUSION,1 (0.2%),1
Preferred Term,"NEOPLASMS BENIGN, MALIGNANT AND UNSPECIFIED (INCL CYSTS AND POLYPS)",METASTASES TO CENTRAL NERVOUS SYSTEM,1 (0.2%),1
Preferred Term,"NEOPLASMS BENIGN, MALIGNANT AND UNSPECIFIED (INCL CYSTS AND POLYPS)",METASTATIC NEOPLASM,1 (0.2%),2
Preferred Term,"NEOPLASMS BENIGN, MALIGNANT AND UNSPECIFIED (INCL CYSTS AND POLYPS)",METASTATIC PAIN,1 (0.2%),2
SOC,IMMUNE SYSTEM DISORDERS,NA,10 (2.2%),14
Preferred Term,IMMUNE SYSTEM DISORDERS,HYPERSENSITIVITY,6 (1.3%),7
Preferred Term,IMMUNE SYSTEM DISORDERS,DRUG HYPERSENSITIVITY,3 (0.7%),6
Preferred Term,IMMUNE SYSTEM DISORDERS,CYTOKINE RELEASE SYNDROME,1 (0.2%),1
SOC,REPRODUCTIVE SYSTEM AND BREAST DISORDERS,NA,8 (1.8%),21
Preferred Term,REPRODUCTIVE SYSTEM AND BREAST DISORDERS,ERECTILE DYSFUNCTION,2 (0.4%),6
Preferred Term,REPRODUCTIVE SYSTEM AND BREAST DISORDERS,BREAST PAIN,1 (0.2%),1
Preferred Term,REPRODUCTIVE SYSTEM AND BREAST DISORDERS,ENDOMETRIAL DISORDER,1 (0.2%),5
Preferred Term,REPRODUCTIVE SYSTEM AND BREAST DISORDERS,GENITAL ERYTHEMA,1 (0.2%),2
Preferred Term,REPRODUCTIVE SYSTEM AND BREAST DISORDERS,METRORRHAGIA,1 (0.2%),3
Preferred Term,REPRODUCTIVE SYSTEM AND BREAST DISORDERS,NIPPLE PAIN,1 (0.2%),2
Preferred Term,REPRODUCTIVE SYSTEM AND BREAST DISORDERS,VAGINAL HAEMORRHAGE,1 (0.2%),1
Preferred Term,REPRODUCTIVE SYSTEM AND BREAST DISORDERS,VAGINAL ULCERATION,1 (0.2%),1
SOC,HEPATOBILIARY DISORDERS,NA,2 (0.4%),13
Preferred Term,HEPATOBILIARY DISORDERS,CYTOLYTIC HEPATITIS,1 (0.2%),10
Preferred Term,HEPATOBILIARY DISORDERS,HEPATOSPLENOMEGALY,1 (0.2%),3
SOC,ENDOCRINE DISORDERS,NA,1 (0.2%),2
Preferred Term,ENDOCRINE DISORDERS,HYPERTHYROIDISM,1 (0.2%),2
